ODB-ID;Gemeinde;Ort;PLZ;Strasse / Nr.;Ensemble;Objekt;publiziertes PDF;GVZ Nr.;Baujahr;Einstufung;Datum Erlass;Erlass;Eigentumsbeschränkung;Grundbucheintrag;E-Koordinate;N-Koordinate
Objekt 12937;Schlieren;Schlieren;8952;Turmstrasse 16;"Schlieren: Gaswerk Schlieren Situation historisch; Schlieren: Gaswerkareal, Wohnbauten";Wohn- und Verwaltungsgebäude, sog. Direktorenvilla;;24700372;1901;kantonal;13.09.2019;AREV Nr. 0848/2019 Liste und Inventarblatt;-;;2677461;1250503
Objekt 4029;Schlieren;;8952;Rainweg 12 bei;;Wohnpavillon;;;1979~1981;regional;13.09.2019;AREV Nr. 0848/2019 Liste und Inventarblatt;-;;2676490;1249923
Objekt 2432;Schwerzenbach;Schwerzenbach;8603;Kirchstrasse;Schwerzenbach: Ref. Kirche;Kirche, ref.;;19700023;1813;kantonal;19.12.1979;RRB Nr. 3235/1982 Glattal, RRB Nr. 5113/1979 Liste Kanton;ÖREB;10.08.2009;2691631;1248355
Objekt 12490;Schwerzenbach;Schwerzenbach;8603;Greifenseestrasse 48;;Wohnhaus;;19700092;1973;regional;31.10.2011;"RRB Nr. 3058/2011 Einzelaufstufung; KDK Gutachten Nr. 27-2010";ÖREB;12.01.2011;2692238;1248091
Objekt 2433;Schwerzenbach;Schwerzenbach;8603;Fällandenstrasse 2;Schwerzenbach: Bauernhaus Fällandenstrasse 2;Wohnhaus mit Scheune;;19700028;1598~1684;regional;19.12.1979;RRB Nr. 3235/1982 Glattal, RRB Nr. 5113/1979 Liste Kanton;-;;2691586;1248389
Objekt 14058;Schöfflisdorf;Schöfflisdorf;8165;Wehntalerstrasse 10;;Bauernhaus;;09900054;1707;-;;;PD;15.02.1978;2673765;1261473
Objekt 14059;Schöfflisdorf;Schöfflisdorf;8165;"Chileweg 3; Chileweg 1";;Ehem. Bauernhaus;;09900167;1810;-;;;PD;26.03.1979;2673644;1261568
Objekt 2365;Schöfflisdorf;Schöfflisdorf;8165;Chilegass 2;Schöfflisdorf: Pfrundliegenschaft;Ref. Kirche;;09900148;1706;kantonal;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2673697;1261505
Objekt 2364;Schöfflisdorf;Schöfflisdorf;8165;Wehntalerstrasse 17;Schöfflisdorf: Pfrundliegenschaft;Ref. Pfarrhaus;;09900067;1713~1714;kantonal;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2673693;1261447
Objekt 2366;Schöfflisdorf;Schöfflisdorf;8165;Im Hinterdorf 7;Schöfflisdorf: Hof Hinterdorf;Speicher;;09900149;1589;kantonal;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;04.02.1976;2673591;1261508
Objekt 14060;Schöfflisdorf;Schöfflisdorf;8165;Büelstrasse 5;;Wohnhaus;;09900201;1604;-;;;PD;25.01.1982;2673715;1261591
Objekt 7257;Schöfflisdorf;Schöfflisdorf;8165;Im Hinterdorf 9;Schöfflisdorf: Hof Hinterdorf;Wohnhaus mit Scheune;;09900151;1700~1799;kantonal;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;11.01.1977;2673571;1261524
Objekt 2384;Schönenberg (ZH);Schönenberg;8824;Langwies 15;;Bauernwohnhaus;;29307145;1770;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;-;;2690748;1227342
Objekt 14063;Schönenberg (ZH);Schönenberg;8824;Langwies 13;;Bauernwohnhaus;;29307138;1700~1799;-;;;PD;29.06.1979;2690803;1227153
Objekt 12714;Schönenberg (ZH);Schönenberg;8824;Buechenstrasse 3 bei;Schönenberg (ZH): Hof Buechen;Bienenhaus;;29307057;1892;regional;19.08.1998;RRB Nr. 1863/1998, Einzelaufstufung;-;;2691787;1227112
Objekt 1059;Schönenberg (ZH);Schönenberg ZH;8824;"Tannenhof 1; Tannenhof 5; Tannenhof 3";Schönenberg (ZH): Bauernhof «Tannenhof»;Doppelbauernhaus;;14000400;1700~1799;regional;17.10.1990;RRB Nr. 3393/1990;-;;2692361;1228560
Objekt 1060;Schönenberg (ZH);Schönenberg;8824;Tannenhof 1 bei;Schönenberg (ZH): Bauernhof «Tannenhof»;Ehem. Sennhütte;;29307403;1700~1799;regional;17.10.1990;RRB Nr. 3393/1990;-;;2692362;1228636
Objekt 12715;Schönenberg (ZH);Schönenberg;8824;Buechenstrasse;Schönenberg (ZH): Hof Buechen;Feldscheune;;29307058;1846;regional;19.08.1998;RRB Nr. 1863/1998, Einzelaufstufung;-;;2691860;1227107
Objekt 2385;Schönenberg (ZH);Schönenberg;8824;"Rechberg 11; Rechberg 9";Schönenberg (ZH): Doppelwohnhaus «Vorder Rechberg»;Hausteil 1;;29307221;1764~1765;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;PD;29.08.1989;2690549;1229337
Objekt 2386;Schönenberg (ZH);Schönenberg;8824;Rechberg 5;Schönenberg (ZH): Doppelwohnhaus «Vorder Rechberg»;Hausteil 2;;29307222;1764~1765;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;-;;2690557;1229341
Objekt 2383;Schönenberg (ZH);Schönenberg;8824;Höhenweg 1;Schönenberg (ZH): Kirchenbezirk;Kirche, ref.;;29307001;1703;kantonal;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB 5113/1979 Liste Kanton;PD;05.11.1985;2691430;1227585
Objekt 2382;Schönenberg (ZH);Schönenberg;8824;Höhenweg;Schönenberg (ZH): Kirchenbezirk;Ref. Pfarrhaus;;29307003;1703;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;-;;2691392;1227618
Objekt 12716;Schönenberg (ZH);Schönenberg;8824;Buechenstrasse 3 bei;Schönenberg (ZH): Hof Buechen;Schweinestall und Remise;;29307426;1899;regional;19.08.1998;RRB Nr. 1863/1998, Einzelaufstufung;ÖREB;26.08.2016;2691786;1227138
Objekt 12914;Schönenberg (ZH);Schönenberg;8824;Tannenhof 1 bei;Schönenberg (ZH): Bauernhof «Tannenhof»;Stallscheune;;29307398;1865~1880;regional;17.10.1990;RRB Nr. 3393/1990, Einzelaufstufung;ÖREB;29.09.1992;2692389;1228519
Objekt 1061;Schönenberg (ZH);Schönenberg;8824;Tannenhof 1 bei;Schönenberg (ZH): Bauernhof «Tannenhof»;Waschhaus;;29307399;1773;regional;17.10.1990;RRB Nr. 3393/1990;-;;2692391;1228542
Objekt 2381;Schönenberg (ZH);Schönenberg ZH;8824;Höhenweg 1 bei;Schönenberg (ZH): Kirchenbezirk;Waschhaus;;;1;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2691407;1227620
Objekt 12713;Schönenberg (ZH);Schönenberg;8824;Buechenstrasse 3;Schönenberg (ZH): Hof Buechen;Wohnhaus;;29307056;1858~1861;regional;16.08.1995;RRB Nr. 2496/1995, Einzelaufstufung;PD;15.03.1996;2691797;1227130
Objekt 14061;Schönenberg (ZH);Schönenberg;8824;"Kirchrain 11; Kirchrain 9";;Wohnhaus;;29307005;1700;-;;;PD;30.03.1978;2691464;1227605
Objekt 2387;Schönenberg (ZH);Schönenberg;8824;"Rechberg 1; Rechberg 3";;Wohnhaus mit Anbau;;29307225;1764;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;ÖREB;28.07.1992;2690574;1229333
Objekt 2380;Schönenberg (ZH);Schönenberg;8824;Egg 2;;Wohnhaus «Althaus»;;29307669;1746;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;PD;24.11.1977;2692658;1228373
Objekt 2400;Seegräben;Seegräben;8607;Dorfstrasse 16;;Bauernwohnhaus «Messikomerhof»;;11900002;1719;regional;19.12.1979;RRB Nr. 3488/1987, RRB Nr. 5113/1979;-;;2700842;1244391
Objekt 2401;Seegräben;Aathal;8607;"Zürichstrasse 50; Zürichstrasse 52";Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Ehem. Fabrikantenvilla;;11900188;1861;regional;17.01.1990;BDV Nr. 48/1990 Einzeleinstufung;PD;31.03.1990;2700092;1243944
Objekt 2402;Seegräben;Aathal;8607;Zürichstrasse;Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Ehem. Gasfabrik;;11900185;1870~1916;regional;;;-;;2700181;1243857
Objekt 10578;Seegräben;Aathal;8607;"Aretshaldenstrasse 1; Aretshaldenstrasse 3; Aretshaldenstrasse 5";Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Ehem. Mühle;;11900160;1628~1790;regional;;;-;;2700620;1243606
Objekt 10580;Seegräben;Aathal;8607;Zürichstrasse 25;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Ehem. Mühle «Neuegg»;;11900173;1858~1862;regional;;;-;;2700510;1243611
Objekt 2410;Seegräben;Aathal;8607;"Zürichstrasse 65; Zürichstrasse 63";Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Ehem. Spinnerei «Unteraathal»;;11900203;1851;regional;04.11.1987;RRB Nr. 3488/1987;ÖREB;05.08.1992;2700033;1243911
Objekt 10586;Seegräben;Aathal;8607;"Zürichstrasse 13a; Zürichstrasse 13b";Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Ehem. Stallscheune;;11900147;1827~1858;regional;;;-;;2700681;1243513
Objekt 4686;Seegräben;Aathal;8607;Zürichstrasse 67;Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Ehem. Trafostation Turm D 310;;11900201;1915;regional;05.08.1992;BDV Nr. 733/1992 Einzelfestsetzung aufgrund Unterschutzstellung ohne Inventarblatt;ÖREB;05.08.1992;2700008;1243898
Objekt 10588;Seegräben;Aathal;8607;"Aretshaldenstrasse 19; Aretshaldenstrasse 17";Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Ehem. mechanische Werkstätte Schellenberg;;11900154;1867~1870;regional;;;-;;2700722;1243584
Objekt 10575;Seegräben;Aathal;8607;Zürichstrasse 20;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Fabrikantenvilla;;11900149;1862;regional;;;-;;2700718;1243516
Objekt 10579;Seegräben;Aathal;8607;Zürichstrasse 24;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Fabrikantenvilla Schellenberg;;11900165;1852;regional;;;-;;2700651;1243561
Objekt 14073;Seegräben;Seegräben;8607;Leumatt 1;;Kindergarten;;11900043;1880;-;;;PD;20.10.1993;2700533;1243948
Objekt 7258;Seegräben;Seegräben;8607;Dorfstrasse 22;;Kirche, ref.;;11900001;1885;kantonal;19.12.1979;RRB Nr. 3488/1987, RRB Nr. 5113/1979;-;;2700847;1244434
Objekt 2408;Seegräben;Aathal;8607;"Zürichstrasse 76; Zürichstrasse 78; Zürichstrasse 80";Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Kosthaus;;11900199;1915;regional;03.05.1989;BDV Nr. 479/1989 Einzeleinstufung;PD;10.08.1989;2699855;1244103
Objekt 2404;Seegräben;Aathal;8607;Zürichstrasse 66;Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Kosthaus;;11900196;1869;regional;04.01.1988;BDV Nr. 1119/1988 Einzeleinstufung;PD;16.03.1988;2699968;1244024
Objekt 2405;Seegräben;Aathal;8607;"Zürichstrasse 68; Zürichstrasse 70";Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Kosthaus;;11900197;1872;regional;19.03.1993;BDV Nr. 325/1993 Einzeleinstufung;PD;04.08.1993;2699922;1244057
Objekt 2406;Seegräben;Aathal;8607;"Zürichstrasse 74; Zürichstrasse 72";Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Kosthaus;;11900198;1890;regional;03.05.1989;BDV Nr. 480/1989 Einzeleinstufung;PD;10.08.1989;2699886;1244085
Objekt 2412;Seegräben;Aathal;8607;"Zürichstrasse 58; Zürichstrasse 60; Zürichstrasse 62";Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Kosthaus;;11900193;1854;regional;30.05.1991;BDV Nr. 376/1991 Einzeleinstufung;PD;03.01.1992;2700032;1243977
Objekt 2411;Seegräben;Aathal;8607;Zürichstrasse 54 bei;Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Pavillon;;11900189;1910;regional;;;-;;2700069;1243950
Objekt 2413;Seegräben;Aathal;8607;"Zürichstrasse 54; Zürichstrasse 56";Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Remise und Scheune;;11900190;1861;regional;23.01.1990;BDV Nr. 86/1990 Einzeleinstufung;PD;31.03.1990;2700074;1243967
Objekt 2407;Seegräben;Aathal;8607;Zürichstrasse 76 bei;Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Schopf;;11900212;1940;regional;03.05.1989;BDV Nr. 479/1989 Einzeleinstufung;PD;10.08.1989;2699860;1244118
Objekt 2415;Seegräben;Aathal;8607;Zürichstrasse 56 bei;Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Schopf mit Werkstatt;;11900192;1861;regional;;;-;;2700062;1243985
Objekt 14071;Seegräben;Seegräben;8607;Aathalstrasse 6;Seegräben: Primarschulanlage Seegräben;Schulhaus;;11900035;1838;-;;;PD;08.03.1995;2700664;1244222
Objekt 2409;Seegräben;Aathal;8607;Zürichstrasse 69;Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Shedhalle mit Kesselhaus und Hochkamin;;11900207;1889~1890;regional;05.08.1992;BDV Nr. 733/1992 Einzelfestsetzung aufgrund Unterschutzstellung ohne Inventarblatt;ÖREB;05.08.1992;2700005;1243943
Objekt 10585;Seegräben;Aathal;8607;"Zürichstrasse 11; Zürichstrasse 15; Zürichstrasse 17; Zürichstrasse 19; Zürichstrasse 21; Zürichstrasse 23";Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Spinnerei Ober Aathal;;11900166;1861~1963;regional;02.12.2015;RRB Nr. 1127/2015 Einzelfestsetzung ohne Inventarblatt;ÖREB;08.12.2015;2700607;1243549
Objekt 3954;Seegräben;Aathal-Seegräben;8607;Gstalderstrasse 4 bei;Seegräben: Alte Bahnhofanlage Aathal;Stellwerk, ehem.;;11900296;1912;regional;;;PD;28.12.1993;2700434;1243597
Objekt 10465;Seegräben;;8607;Gstalderstrasse;Seegräben: Alte Bahnhofanlage Aathal;Wartehäuschen SBB, ehem.;;11900178;1;regional;;;-;;2700518;1243552
Objekt 2403;Seegräben;Aathal;8607;Zürichstrasse 66 bei;Seegräben: Ehem. Spinnerei Streiff AG Unteraathal;Waschhaus;;11900194;1877;regional;;;-;;2700000;1244003
Objekt 4840;Seegräben;Aathal-Seegräben;8607;Zürichstrasse;"Seegräben: Ehem. Spinnerei Streiff AG Oberaathal; Seegräben: Wasserrecht WR Hinwil 165";Wasserkraftanlage 1 Oberwasserkanal;;;1942~1943;regional;;;PD;19.10.1995;2700825;1243408
Objekt 2417;Seegräben;Aathal-Seegräben;8607;Gstalderstrasse 2 bei;"Seegräben: Ehem. Spinnerei Streiff AG Unteraathal; Seegräben: Wasserrecht WR Hinwil 167 Spinnerei Unteraathal";Wasserkraftanlage 1 Wehr im Aabach;;;1851~1946;regional;04.11.1987;RRB Nr. 3488/1987;ÖREB;05.08.1992;2700452;1243620
Objekt 2418;Seegräben;Aathal-Seegräben;8607;"Gstalderweg 4; bei";"Seegräben: Ehem. Spinnerei Streiff AG Unteraathal; Seegräben: Wasserrecht WR Hinwil 167 Spinnerei Unteraathal";Wasserkraftanlage 2 Abschlussfalle Zulaufkanal;;;1851~1946;regional;04.11.1987;RRB Nr. 3488/1987 Zürcher Oberland;ÖREB;05.08.1992;2700452;1243610
Objekt 4841;Seegräben;Aathal-Seegräben;8607;Zürichstrasse 22 bei;"Seegräben: Ehem. Spinnerei Streiff AG Oberaathal; Seegräben: Wasserrecht WR Hinwil 165";Wasserkraftanlage 2 Düker-Einlauf;;;1942~1943;regional;;;PD;19.10.1995;2700724;1243566
Objekt 2419;Seegräben;Aathal-Seegräben;8607;Zürichstrasse 39 bei;"Seegräben: Ehem. Spinnerei Streiff AG Unteraathal; Seegräben: Wasserrecht WR Hinwil 167 Spinnerei Unteraathal";Wasserkraftanlage 3 Aquaedukt über Aabach;;;1851~1946;regional;04.11.1987;RRB Nr. 3488/1987 Zürcher Oberland;ÖREB;05.08.1992;2700220;1243779
Objekt 4842;Seegräben;Aathal-Seegräben;8607;Zürichstrasse 24 bei;"Seegräben: Ehem. Spinnerei Streiff AG Oberaathal; Seegräben: Wasserrecht WR Hinwil 165";Wasserkraftanlage 3 Düker;;;1942;regional;;;PD;19.10.1995;2700608;1243582
Objekt 2420;Seegräben;Aathal-Seegräben;8607;Zürichstrasse 63 bei;"Seegräben: Ehem. Spinnerei Streiff AG Unteraathal; Seegräben: Wasserrecht WR Hinwil 167 Spinnerei Unteraathal";Wasserkraftanlage 4 Leerlauf/Überlauf mit Rechenanlage;;;1851~1946;regional;04.11.1987;RRB Nr. 3488/1987 Zürcher Oberland;ÖREB;05.08.1992;2700035;1243881
Objekt 4843;Seegräben;Aathal-Seegräben;8607;Zürichstrasse 23a bei;"Seegräben: Ehem. Spinnerei Streiff AG Oberaathal; Seegräben: Wasserrecht WR Hinwil 165";Wasserkraftanlage 4 Wasserschloss;;;1942~1943;regional;;;PD;19.10.1995;2700536;1243579
Objekt 4844;Seegräben;Aathal-Seegräben;8607;Zürichstrasse 23a;"Seegräben: Ehem. Spinnerei Streiff AG Oberaathal; Seegräben: Wasserrecht WR Hinwil 165";Wasserkraftanlage 5 Turbinenhaus;;11900172;1942~1943;regional;;;PD;19.10.1995;2700520;1243586
Objekt 2423;Seegräben;Aathal-Seegräben;8607;"Zürichstrasse 63; Zürichstrasse 65";"Seegräben: Ehem. Spinnerei Streiff AG Unteraathal; Seegräben: Wasserrecht WR Hinwil 167 Spinnerei Unteraathal";Wasserkraftanlage 5 Turbinenhausanbau;;11900203;1898;regional;04.11.1987;RRB Nr. 3488/1987;ÖREB;05.08.1992;2700018;1243887
Objekt 2422;Seegräben;Aathal-Seegräben;8607;Zürichstrasse 69 bei;"Seegräben: Ehem. Spinnerei Streiff AG Unteraathal; Seegräben: Wasserrecht WR Hinwil 167 Spinnerei Unteraathal";Wasserkraftanlage 6 Unterwasserkanal;;;1851~1946;regional;04.11.1987;RRB Nr. 3488/1987 Zürcher Oberland;ÖREB;05.08.1992;2699964;1243943
Objekt 4845;Seegräben;Aathal-Seegräben;8607;Zürichstrasse 23a bei;"Seegräben: Ehem. Spinnerei Streiff AG Oberaathal; Seegräben: Wasserrecht WR Hinwil 165";Wasserkraftanlage 6 Unterwasserkanal;;;1942~1943;regional;;;PD;19.10.1995;2700500;1243593
Objekt 46;Seegräben;Aathal-Seegräben;8607;Aretshaldenstrasse 17;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Werkstatt;;11900156;1867;regional;;;-;;2700712;1243587
Objekt 10589;Seegräben;Aathal;8607;Aretshaldenstrasse 21;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Wohnhaus;;11900152;1813;regional;;;-;;2700733;1243575
Objekt 14074;Seegräben;Seegräben;8607;Bürglenweg 8;;Wohnhaus;;11900118;1813;-;;;PD;09.12.2003;2700119;1244695
Objekt 14075;Seegräben;Seegräben;8607;Usterstrasse 38;Seegräben: Usterstrasse 38;Wohnhaus;;11900126;1700~1799;-;;;PD;15.01.1997;2700067;1244595
Objekt 10577;Seegräben;Aathal;8607;"Aretshaldenstrasse 11; Aretshaldenstrasse 13; Aretshaldenstrasse 15";Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Wohnhaus Schellenberg;;11900156;1836;regional;;;-;;2700702;1243596
Objekt 10581;Seegräben;Aathal;8607;"Gstalderstrasse 2; Zürichstrasse 27";Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Wohnhaus mit Laden, ehem. Konsum;;11900175;1880~1935;regional;;;-;;2700464;1243638
Objekt 10583;Seegräben;Aathal;8607;Zürichstrasse 34;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;Wohnhaus «Zum Felsenkeller»;;11900176;1880;regional;;;-;;2700422;1243686
Objekt 3997;Seegräben;Aathal;8607;Gstalderstrasse 4;Seegräben: Alte Bahnhofanlage Aathal;ehem. Aufnahmegebäude mit angebautem Güterschuppen;;11900177;1863;regional;;;-;;2700420;1243612
Objekt 10587;Seegräben;Aathal;8607;Zürichstrasse 20 bei;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;ehem. Badehaus;;11900150;1867;regional;;;ÖREB;17.07.2019;2700747;1243521
Objekt 10576;Seegräben;Aathal;8607;Zürichstrasse 22;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;ehem. Baumwollspinnerei «Schellenberg»;;11900151;1822;regional;;;-;;2700687;1243559
Objekt 10582;Seegräben;Aathal;8607;Zürichstrasse 22 bei;Seegräben: Ehem. Spinnerei Streiff AG Oberaathal;ehem. Turbinenhaus;;11900219;1870;regional;;;-;;2700710;1243572
Objekt 14078;Seuzach;Seuzach;8472;Kirchgasse 19;;Alte Schmiede;;22700301;1872;-;;;PD;10.08.1989;2696980;1265594
Objekt 3913;Seuzach;Seuzach;8472;Stationsstrasse 53;Seuzach: Bahnhof SBB Station Seuzach;Aufnahmegebäude;;22702450;2001~2002;regional;;;-;;2697900;1265812
Objekt 14082;Seuzach;Seuzach;8472;"Steinbühlstrasse 119; Steinbühlstrasse 121";;Bauernhaus;;22701430;1842;-;;;PD;21.09.1971;2696701;1265317
Objekt 2355;Seuzach;Seuzach;8472;Trottenstrasse 6 bei;Seuzach: «Untervogtei»;Brunnen;;;1859;regional;;;-;;2695760;1264893
Objekt 14083;Seuzach;Seuzach;8472;"Ohringerstrasse 124; Ohringerstrasse 126";Seuzach: Hof Ohringerstrasse 126;Ehem. Bauernhaus;;22701748;1818;-;;;PD;27.07.1993;2696040;1265648
Objekt 14077;Seuzach;Seuzach;8472;Winterthurerstrasse 26;;Ehem. Bauernwohnhaus;;22700056;1750~1799;-;;;PD;30.08.1976;2697142;1265618
Objekt 14081;Seuzach;Seuzach;8472;Haselweg 6;;Ehem. Grosse Trotte;;22701297;1750;-;;;PD;15.12.1994;2697216;1266527
Objekt 11259;Seuzach;Seuzach;8472;Kirchgasse 23;"Seuzach: Pfrundliegenschaft; Seuzach: Ehem. Bauernhaus, sog. «Messmerhaus»";Gebäudeteil West;;22700309;1743;-;;;PD;06.01.1977;2696957;1265585
Objekt 2441;Seuzach;Seuzach;8472;Reutlingerstrasse 15 bei;Seuzach: Kindergarten Reutlingerstrasse;Gerätehaus;;22701367;1995;regional;;;-;;2697315;1265658
Objekt 14080;Seuzach;Seuzach;8472;Alte Poststrasse 27;Seuzach: Ehem. Bauernhaus;Hausteil 1;;22701153;1708;-;;;PD;19.05.1999;2697137;1266057
Objekt 2440;Seuzach;Seuzach;8472;Reutlingerstrasse 15;Seuzach: Kindergarten Reutlingerstrasse;Kindergarten Schneckenwiesen;;22701127;1995;regional;;;-;;2697310;1265695
Objekt 2360;Seuzach;Seuzach;8472;Kirchgasse 27;Seuzach: Pfrundliegenschaft;Ref. Kirche;;22700313;1131~1791;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2696947;1265549
Objekt 2359;Seuzach;Seuzach;8472;Kirchgasse 17;Seuzach: Pfrundliegenschaft;Ref. Pfarrhaus;;22700299;1762~1763;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2696977;1265554
Objekt 2358;Seuzach;Seuzach;8472;Kirchgasse 17 bei;Seuzach: Pfrundliegenschaft;Schopf;;22700297;1858;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2696989;1265574
Objekt 14084;Seuzach;Seuzach;8472;Ohringerstrasse 126 bei;Seuzach: Hof Ohringerstrasse 126;Speicher;;22701756;1850;-;;;PD;12.06.1986;2696031;1265671
Objekt 2356;Seuzach;Seuzach;8472;Trottenstrasse 6;Seuzach: «Untervogtei»;Vielzweckbauernhaus, sog. Untervogthaus;;22701972;1692;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;12.06.1975;2695750;1264906
Objekt 2357;Seuzach;Seuzach;8472;Trottenstrasse 6 bei;Seuzach: «Untervogtei»;Waschhaus;;22701974;1707;regional;;;-;;2695745;1264887
Objekt 2361;Seuzach;Seuzach;8472;Ohringerstrasse 130;Seuzach: Herrschaftshaus mit Ökonomiegebäude, sog. «Schlössli»;Wohnhaus, sog. «Schlössli»;;22701772;1774;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;23.06.1987;2695982;1265656
Objekt 2362;Seuzach;Seuzach;8472;Ohringerstrasse 130a;Seuzach: Herrschaftshaus mit Ökonomiegebäude, sog. «Schlössli»;Ökonomiegebäude;;22701774;1832;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;09.08.1985;2695987;1265673
Objekt 14087;Stadel;Stadel;8174;Bachserstrasse 9;;Bauernhaus;;10000071;1770;-;;;PD;09.05.1980;2677257;1264653
Objekt 15794;Stadel;Stadel;8174;;Stadel: Sperrstelle 667;Centurion-Bunker A05583;;;1;kantonal;;;-;;2678814;1265621
Objekt 15795;Stadel;Stadel;8174;;Stadel: Sperrstelle 667;Centurion-Bunker A05584;;;1;kantonal;;;-;;2678825;1265611
Objekt 15796;Stadel;Stadel;8174;;Stadel: Sperrstelle 667;Centurion-Bunker A05585;;;1;kantonal;;;-;;2677274;1265277
Objekt 14096;Stadel;Stadel;8174;Hinterdorfstrasse 5;;Ehem. Bauernwohnhaus, heute Alterswohnheim;;10000174;1700~1799;-;;;PD;01.02.1993;2677504;1264725
Objekt 1625;Stadel;Stadel;8174;Zürcherstrasse 9;Stadel: Bauernhaus, sog. «Maaghaus», mit Waschhaus;Ehem. Ökonomieteil;;10000178;1668;kantonal;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;18.04.2002;2677454;1264674
Objekt 14093;Stadel;Stadel;8174;Bachserstrasse 6;;Fabrikgebäude mit Büro;;10000118;1743;-;;;PD;22.04.1981;2677303;1264707
Objekt 7259;Stadel;Windlach;8175;Im Birchi 3;Stadel: Vielzweckbauernhaus;Hausteil 1;;10000386;1638;regional;;;-;;2677939;1266117
Objekt 7260;Stadel;Windlach;8175;Im Birchi 5;Stadel: Vielzweckbauernhaus;Hausteil 2;;10000388;1638;regional;;;-;;2677933;1266100
Objekt 15774;Stadel;Stadel;0;;Stadel: Sperrstelle 667;Infanteriebunker A05351;;;1;kantonal;;;-;;2677901;1265150
Objekt 15775;Stadel;Stadel;0;;Stadel: Sperrstelle 667;Infanteriebunker A05352;;;1;kantonal;;;-;;2678201;1265270
Objekt 2374;Stadel;Stadel;8174;Chilenweg 7;;Kirche, ref.;;10000046;1736~1738;kantonal;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;23.02.1988;2677361;1264556
Objekt 1197;Stadel;Stadel;8174;;Stadel: Sperrstelle 667;Kommandoposten A05353;;;1;kantonal;;;-;;2678836;1265632
Objekt 15776;Stadel;Stadel;8174;;Stadel: Sperrstelle 667;Panzersperre T02727;;;1;kantonal;;;-;;2677251;1265325
Objekt 15777;Stadel;Stadel;8174;;Stadel: Sperrstelle 667;Panzersperre T02727.04;;;1;kantonal;;;-;;2677951;1265250
Objekt 15778;Stadel;Stadel;8174;;Stadel: Sperrstelle 667;Panzersperre T02727.05;;;1;kantonal;;;-;;2678341;1265370
Objekt 15779;Stadel;Stadel;8174;;Stadel: Sperrstelle 667;Panzersperre T02727.07;;;1;kantonal;;;-;;2678741;1265570
