ODB-ID;Gemeinde;Ort;PLZ;Strasse / Nr.;Ensemble;Objekt;publiziertes PDF;GVZ Nr.;Baujahr;Einstufung;Datum Erlass;Erlass;Eigentumsbeschränkung;Grundbucheintrag;E-Koordinate;N-Koordinate
Objekt 5611;Hittnau;Hittnau;8335;Bergstrasse 4;Hittnau: Grosses Flarzhaus;Hausteil 8;;17300373;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703917;1248265
Objekt 5612;Hittnau;Hittnau;8335;"Schönaustrasse 7 bei; Schönaustrasse 9 bei; Dichterweg";Hittnau: Grosses Flarzhaus;Hausteil 9;;17300374;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703931;1248257
Objekt 5613;Hittnau;Hittnau;8335;Jakob Stutz-Strasse 99;Hittnau: Ref. Kirchgemeinde;Kirche, ref.;;17300808;1708;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;ÖREB;20.03.2018;2704662;1246498
Objekt 5614;Hittnau;Hittnau;8335;Wetzikerstrasse 5;Hittnau: Ref. Kirchgemeinde;Pfarrhaus;;17300850;1710;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2704594;1246465
Objekt 15536;Hittnau;Hittnau;8335;Wetzikerstrasse 17;;Spritzenhaus;;17300861;1902;regional;;;-;;2704616;1246414
Objekt 4626;Hittnau;Hittnau;8335;Balchenstalstrasse;;Transformatorenstation;;17300422;1911;regional;;;-;;2703503;1247670
Objekt 15538;Hittnau;Hittnau;8335;Luppmenweg bei;Hittnau: Ehem. Baumwollweberei Luppmen;Unterer Luppmenweiher;;;1;-;;;PD;19.04.1995;2705534;1246383
Objekt 15537;Hittnau;Hittnau;8335;Oberdorfstrasse 91;Hittnau: Ehem. Baumwollweberei Luppmen;Weiher;;;1;regional;;;-;;2705139;1246860
Objekt 781;Hochfelden;Hochfelden;8182;"Stadlerstrasse 1; Stadlerstrasse 4";Hochfelden: Bauernhaus mit Speicher, ehem. Gasthaus  Zum Sternen;Bauernhaus;;05900063;1;regional;;;-;;2681177;1264160
Objekt 13385;Hochfelden;Hochfelden;8182;Schachenstrasse 4;;Bauernhaus, ehem.;;05900119;1818~1827;-;;;PD;16.05.1995;2681099;1264248
Objekt 16025;Hochfelden;Hochfelden;8182;Dorfstrasse 5;;Ehem. Bauernhaus;;05900042;1;-;;;PD;28.09.1977;2681206;1264050
Objekt 5555;Hochfelden;Hochfelden;8182;Gemeindehausstrasse 4;;Ehem. Schulhaus, heute Gemeindehaus;;05900061;1834;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2681124;1264113
Objekt 14614;Hochfelden;Hochfelden;8182;Stadlerstrasse 2;Hochfelden: Reihenhäuser mit Post und Restaurant  Frohsinn;Hausteil 1;;05900077;1812;-;;;PD;12.01.1979;2681167;1264201
Objekt 16026;Hochfelden;Hochfelden;8182;Stadlerstrasse 2 bei;Hochfelden: Reihenhäuser mit Post und Restaurant  Frohsinn;Hausteil 3;;"05900077; 05900169";1812;-;;;PD;12.01.1979;2681172;1264201
Objekt 782;Hochfelden;Hochfelden;8182;Stadlerstrasse 1 bei;Hochfelden: Bauernhaus mit Speicher, ehem. Gasthaus  Zum Sternen;Speicher;;05900064;1;regional;;;-;;2681159;1264153
Objekt 4603;Hochfelden;Hochfelden;8182;Willenhofstrasse 1 bei;;Trafostation B Turm;;05900054;1914;regional;;;-;;2681212;1264127
Objekt 13383;Hochfelden;Hochfelden;8182;Willenhofstrasse 8;;Wohnhaus;;05900041;1;-;;;PD;15.12.1987;2680846;1263183
Objekt 13387;Hofstetten (ZH);Hofstetten;8354;Wenzikon 22;;Bauernhaus, ehem.;;29402312;1600~1799;-;;;PD;26.08.1992;2705304;1260202
Objekt 15924;Hofstetten (ZH);Hofstetten;8354;Neubruchstrasse 007;;Bauernhaus, ehem.;;29402285;1823;-;;;PD;01.03.1974;2705268;1260104
Objekt 5544;Hofstetten (ZH);Hofstetten;8354;Hofstetten 190;;Doktorhaus, sog. «Türmlihaus»;;29402190;1708;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2706639;1258775
Objekt 4988;Hofstetten (ZH);Hofstetten ZH;8354;;Elgg/Wiesendangen/Hofstetten (ZH): Grenzsteine;Grenzstein, alter;;;1500;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2705151;1261000
Objekt 5545;Hofstetten (ZH);Hofstetten;8354;Dickbuch 451;;Zehntenspeicher, ehem.;;29402451;1580;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2704945;1261620
Objekt 3998;Hombrechtikon;Feldbach;8714;Bahnhofstrasse 16;Hombrechtikon: Bahnhof Feldbach;Aufnahmegebäude mit Güterschuppen;;15300215;1893;regional;;;-;;2701828;1232899
